Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2026-01-21,318.0,356.95,318.0,348.25,26831287,EQ,571845,46.92,15376710
2026-01-22,346.6,369.05,346.6,365.6,6398227,EQ,167959,38.09,3403098
2026-01-23,371.95,391.8,365.6,375.65,4941533,EQ,98632,50.1,2056881
2026-01-27,375.5,375.95,356.25,360.1,1042101,EQ,37347,27.9,380571
2026-01-28,359.9,372.45,353.0,366.85,832466,EQ,39029,21.33,322213
2026-01-29,363.9,373.95,358.0,363.3,672932,EQ,44906,14.99,281942
2026-01-30,362.85,378.5,362.0,366.7,986941,EQ,56524,17.46,312329
2026-02-01,364.8,380.0,325.25,367.15,477410,EQ,35259,13.54,191582
2026-02-02,370.0,373.95,361.05,363.85,319891,EQ,20318,15.74,123692
2026-02-03,374.0,384.9,371.15,380.85,833115,EQ,38139,21.84,390281
2026-02-04,378.9,382.0,366.5,373.35,582033,EQ,35626,16.34,377683
2026-02-05,370.8,377.3,369.3,374.0,223615,EQ,20461,10.93,136268
