Date,Open,High,Low,Close,Volume,Series,TOTAL_TRADES,QTY_PER_TRADE,DLV_QTY
2025-11-13,313.0,328.65,300.0,328.65,765254,BE,2394,319.65,765254
2025-11-14,345.05,345.05,312.25,312.25,475446,BE,3072,154.77,475446
2025-11-17,296.65,296.65,296.65,296.65,41812,BE,327,127.87,41812
2025-11-18,281.85,281.85,281.85,281.85,14403,BE,270,53.34,14403
2025-11-19,267.75,278.5,267.75,267.75,597093,BE,4267,139.93,597093
2025-11-20,263.0,275.0,256.0,258.2,419318,BE,2796,149.97,419318
2025-11-21,252.0,265.4,245.3,245.9,412890,BE,3683,112.11,412890
2025-11-24,240.1,252.2,233.6,234.25,166396,BE,2741,60.71,166396
2025-11-25,233.6,243.0,228.85,241.15,141455,BE,2835,49.9,141455
2025-11-26,244.4,245.9,233.1,238.9,305229,BE,4855,62.87,305229
2025-11-27,240.85,263.3,221.0,226.55,795455,EQ,10883,73.09,531318
2025-11-28,228.0,244.0,222.0,235.45,534965,EQ,5678,94.22,313657
2025-12-01,234.5,235.0,217.96,221.23,545853,EQ,8776,62.2,233711
2025-12-02,222.0,222.0,201.35,205.38,652122,EQ,11436,57.02,290053
2025-12-03,204.34,214.0,194.85,209.39,728645,EQ,12346,59.02,323855
2025-12-04,208.99,211.0,203.26,204.5,381503,EQ,7465,51.11,198174
2025-12-05,204.9,209.99,196.8,207.84,474482,EQ,7604,62.4,272010
2025-12-08,213.0,213.0,195.5,196.78,286569,EQ,4787,59.86,165091
2025-12-09,196.78,236.13,190.17,235.37,7354816,EQ,64898,113.33,701278
2025-12-10,234.8,244.0,226.37,238.54,1809669,EQ,27726,65.27,263929
2025-12-11,231.0,237.7,218.08,223.83,934865,EQ,15044,62.14,210059
2025-12-12,226.0,227.67,220.1,222.58,214605,EQ,4951,43.35,69525
2025-12-15,220.15,225.4,217.01,218.2,191067,EQ,4580,41.72,80047
2025-12-16,216.01,217.97,208.0,211.0,129764,EQ,3580,36.25,57701
2025-12-17,209.35,209.9,203.18,204.88,145051,EQ,3971,36.53,57564
2025-12-18,203.02,214.45,200.1,211.34,308956,EQ,6648,46.47,92780
2025-12-19,211.34,232.6,211.34,228.67,660596,EQ,13136,50.29,163049
2025-12-22,236.7,243.0,230.78,240.79,361681,EQ,7522,48.08,142232
2025-12-23,244.4,252.48,240.0,245.06,387376,EQ,9566,40.5,113424
2025-12-24,240.05,244.5,236.9,241.4,165551,EQ,3782,43.77,76136
2025-12-26,243.8,246.79,229.25,233.1,193375,EQ,4994,38.72,96877
2025-12-29,230.1,235.99,225.0,227.71,125444,EQ,3974,31.57,64690
2025-12-30,226.0,228.61,221.1,221.96,118258,EQ,2854,41.44,75414
2025-12-31,223.25,228.5,221.05,223.59,118263,EQ,3636,32.53,58764
2026-01-01,225.69,227.9,223.53,224.81,49658,EQ,1665,29.82,28217
2026-01-02,223.55,245.98,221.0,235.53,248440,EQ,4618,53.8,126227
2026-01-05,236.99,247.31,233.12,242.56,241321,EQ,5798,41.62,128297
2026-01-06,246.2,246.2,234.17,241.3,158826,EQ,4771,33.29,72818
2026-01-07,241.3,241.3,234.0,236.88,96892,EQ,2710,35.75,57612
2026-01-08,237.1,237.1,224.61,228.86,173220,EQ,4905,35.31,87420
2026-01-09,228.0,231.53,217.0,222.94,120133,EQ,3381,35.53,64703
2026-01-12,225.0,225.0,212.7,219.65,92992,EQ,3017,30.82,50089
2026-01-13,216.8,223.92,213.05,221.72,123157,EQ,3327,37.02,60801
2026-01-14,221.5,222.19,215.18,217.63,53553,EQ,2087,25.66,31853
2026-01-16,216.6,218.63,207.0,208.74,147341,EQ,3382,43.57,90259
2026-01-19,206.08,211.88,198.11,208.29,213187,EQ,4890,43.6,103985
2026-01-20,208.0,208.0,192.54,194.56,251188,EQ,5115,49.11,154173
2026-01-21,193.5,198.37,185.05,187.72,405292,EQ,5215,77.72,287079
2026-01-22,190.55,196.19,186.77,191.66,192679,EQ,4469,43.11,124705
2026-01-23,191.66,192.78,168.41,175.8,689007,EQ,17690,38.95,298081
2026-01-27,173.3,182.0,167.77,173.5,204549,EQ,4824,42.4,115770
2026-01-28,175.0,181.29,173.58,178.85,105479,EQ,2950,35.76,57591
2026-01-29,177.09,191.73,177.09,180.67,182932,EQ,4526,40.42,92849
2026-01-30,178.03,208.5,178.03,199.71,665664,EQ,13934,47.77,194720
2026-02-01,197.0,214.52,197.0,204.26,227615,EQ,6065,37.53,105557
2026-02-02,201.5,209.0,196.35,197.79,63662,EQ,2312,27.54,30460
2026-02-03,212.41,212.41,202.31,207.51,96179,EQ,2963,32.46,48511
2026-02-04,198.4,225.0,198.4,221.94,201650,EQ,4659,43.28,90848
2026-02-05,227.0,229.94,210.2,214.04,216518,EQ,5393,40.15,777302026-02-06,211.35,219.83,211.35,214.53,64917,EQ,1757,36.95,28227
2026-02-09,223.0,223.0,210.0,215.52,155856,EQ,3626,42.98,66716
2026-02-10,217.13,219.84,215.37,217.98,37096,EQ,1430,25.94,22404
2026-02-11,216.65,229.0,214.5,221.1,116965,EQ,2464,47.47,55661
2026-02-12,217.8,224.07,216.65,218.7,59877,EQ,1645,36.4,30878
2026-02-13,215.0,218.97,207.22,210.97,122789,EQ,1823,67.36,73932
2026-02-16,210.97,216.65,204.91,211.44,151736,EQ,2406,63.07,100079
2026-02-17,212.49,221.17,209.82,213.97,135749,EQ,2822,48.1,76445
2026-02-18,213.97,218.4,213.79,216.72,52391,EQ,1762,29.73,31916
2026-02-19,218.7,218.7,206.02,211.37,80231,EQ,1699,47.22,46840
2026-02-20,212.95,214.43,206.0,210.26,115158,EQ,2030,56.73,57552
2026-02-23,212.0,212.01,202.5,204.73,58151,EQ,1262,46.08,29695
2026-02-24,211.6,211.6,196.61,198.09,128469,EQ,4977,25.81,80419
